file,source_px,output_px,output_KB,face_SSIM,face_dE76,skin_ab_drift,aspect_ok,orientation_ok,format_ok
abdulaziz-althumairy.jpg,560x560,1120x1120,225.9,0.9766,2.74,0.25,True,True,True
abdullah-alowayyid.jpg,560x560,1120x1120,356.6,0.9753,2.41,0.85,True,True,True
abdullah-alshami.jpg,800x800,1600x1600,438.9,0.9824,2.31,0.39,True,True,True
abdullah-mushafi.jpg,200x200,400x400,48.4,0.9506,6.27,1.45,True,True,True
abdulrahman-alhaji.jpg,800x800,1600x1600,474.9,0.9775,3.7,1.81,True,True,True
abdulrahman-alnashri.jpg,1120x770,1600x1100,314.6,0.9847,2.64,1.09,True,True,True
abdulrahman-alqannas.jpg,560x560,1120x1120,271.9,0.978,2.8,0.82,True,True,True
abdulrahman-alrifae.jpg,360x360,720x720,132.5,0.9609,3.79,2.07,True,True,True
ahmed-alghaith.jpg,800x800,1600x1600,537.6,0.9692,2.72,0.68,True,True,True
ahmed-almuaybid.jpg,200x200,400x400,62.5,0.9629,5.26,2.72,True,True,True
ahmed-kashif.jpg,520x520,1040x1040,269.8,0.9853,2.03,0.66,True,True,True
alaa-aldamshaqi.jpg,200x200,400x400,38.8,0.9796,2.54,0.45,True,True,True
aljawharah-bintamran.jpg,560x560,1120x1120,211.8,0.9734,2.94,0.68,True,True,True
anas-aldadi.jpg,200x200,400x400,56.5,0.9619,4.6,1.6,True,True,True
anas-almana.jpg,620x620,1240x1240,329.2,0.974,2.84,1.13,True,True,True
asrar-alharbi.jpg,200x200,400x400,37.6,0.9653,5.03,2.25,True,True,True
badr-alshamrani.jpg,800x800,1600x1600,691.7,0.9731,2.61,1.32,True,True,True
danah-almudaifer.jpg,800x800,1600x1600,340.2,0.9858,1.85,0.76,True,True,True
elyas-maghrabi.jpg,800x800,1600x1600,464.3,0.9802,3.3,2.2,True,True,True
fahad-alharbi.jpg,800x800,1600x1600,698.6,0.9709,3.19,1.34,True,True,True
faisal-alhumayzi.jpg,800x800,1600x1600,523.1,0.984,2.22,0.83,True,True,True
fares-altoukhi.jpg,560x560,1120x1120,253.0,0.9793,3.4,1.86,True,True,True
forat-albarnawi.jpg,800x800,1600x1600,527.5,0.9623,5.04,1.25,True,True,True
hamad-almuhaythif.jpg,200x200,400x400,68.5,0.9635,4.84,0.3,True,True,True
hamza-zamzami.jpg,800x800,1600x1600,448.3,0.9669,3.43,1.37,True,True,True
hussain-alhadab.jpg,200x200,400x400,33.3,0.9779,1.45,0.0,True,True,True
hussein-mohsen.jpg,800x800,1600x1600,438.8,0.9606,3.13,0.51,True,True,True
jehad-alhazmi.jpg,800x800,1600x1600,490.6,0.9587,6.65,2.96,True,True,True
khalid-alduwaysan.jpg,471x469,942x938,303.1,0.9631,4.68,0.53,True,True,True
maha-thafar.jpg,800x1000,1280x1600,572.0,0.9765,5.27,3.27,True,True,True
meshal-alamr.jpg,800x800,1600x1600,522.8,0.9712,2.78,0.13,True,True,True
mohammed-almalki.jpg,560x560,1120x1120,300.9,0.968,3.55,1.46,True,True,True
mohammed-alsinan.jpg,904x904,1600x1600,286.2,0.9703,4.56,2.0,True,True,True
mohammed-althunayan.jpg,499x499,998x998,203.9,0.9673,3.46,0.82,True,True,True
mohammed-osailan.jpg,800x800,1600x1600,422.0,0.975,3.85,1.95,True,True,True
mukhtar-albinhamad.jpg,620x620,1240x1240,306.6,0.9721,2.38,0.5,True,True,True
muntaha-jaber.png,260x397,520x794,572.3,0.9654,2.96,0.28,True,True,True
nada-alharbi.jpg,200x200,400x400,12.6,0.9054,5.82,0.01,True,True,True
nasser-alkuhili.jpg,800x800,1600x1600,457.9,0.983,2.32,1.24,True,True,True
omar-alhadi.jpg,200x200,400x400,63.1,0.9741,4.52,1.93,True,True,True
osama-alghamdi.jpg,200x200,400x400,42.5,0.9722,3.43,0.67,True,True,True
osamah-alqarawi.jpg,200x200,400x400,54.0,0.9629,4.55,2.49,True,True,True
rawan-althubyani.jpg,620x620,1240x1240,165.3,0.9828,2.87,1.15,True,True,True
rayah-aldawsari.jpg,200x200,400x400,21.4,0.9736,6.42,2.31,True,True,True
rayan-alsuwat.jpg,800x800,1600x1600,256.8,0.9796,3.39,1.8,True,True,True
rayan-dahlawi.jpg,560x560,1120x1120,383.4,0.9651,4.42,1.94,True,True,True
rewaa-hummedi.jpg,520x520,1040x1040,81.0,0.9804,2.4,0.43,True,True,True
saad-alabdulsalam.jpg,800x800,1600x1600,449.4,0.9838,2.25,0.41,True,True,True
saad-algarny.jpg,599x599,1198x1198,237.2,0.9817,2.5,1.48,True,True,True
taghreed-sindi.jpg,1920x1080,1920x1080,151.9,0.9703,4.43,0.92,True,True,True
tala-bakir.jpg,560x560,1120x1120,223.1,0.9692,5.42,1.29,True,True,True
wadha-almattar.jpg,560x560,1120x1120,276.0,0.9684,3.47,0.82,True,True,True
waleed-aldalham.jpg,520x520,1040x1040,386.2,0.9707,3.04,0.55,True,True,True
yasser-alshehri.png,800x800,1600x1600,1594.7,0.9835,2.61,1.71,True,True,True
yazan-alkamal.jpg,400x400,800x800,177.4,0.9721,3.66,0.27,True,True,True
yazeed-alshurify.jpg,523x523,1046x1046,232.2,0.9807,3.22,2.22,True,True,True
أحمد كاشف.png,800x800,1600x1600,2496.6,0.9912,1.41,0.59,True,True,True
روعة حميدي.png,800x800,1600x1600,821.0,0.9858,1.71,0.54,True,True,True
فهد الحربي.jpg,100x100,200x200,22.3,0.9689,5.44,1.48,True,True,True
وليد الدلهم.png,800x800,1600x1600,3698.1,0.9786,2.46,0.6,True,True,True
