@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
96,179,96,1,2,0,0,23,1,22,3,33.33,23,1,0,0,2,0,0,1,1,3,2,0.42,0,0,2,0,78,1,1,30,7,15.57,0
83,110,83,5,0,2,0,9,0,9,5,12.4,12,3,0,0.91,0,0,0,0,0,0,0.5,0.6,1,2,0,0,63,2,2,9,3,15,0
93,179,0,1,1,5,4,33,0,33,5,22.4,31,3,0,0.89,13,1,2,0,13,2,1,0.5,1,5,0,3,73,1,3,31,3,35,0
68,105,68,2,1,3,1,21,7,14,5,14.4,18,2,0,0.85,4,1,1,0,4,4,0.5,0.69,1,3,1,1,107,3,0,29,6,25,0
170,243,170,17,6,3,2,38,7,31,19,8,47,1,0,0,12,1,1,7,5,33,0.67,0.17,1,3,0,0,116,10,24,72,13,12.77,0
125,264,125,2,1,2,2,67,2,65,5,30.6,47,3,0,0.89,22,1,2,0,22,10,1.12,0.5,1,2,2,0,65,1,0,16,4,15.25,0
71,305,58,3,0,0,0,39,3,36,4,47.5,26,2,0,0.88,6,1,5,0,6,6,2,0.75,0,0,0,1,64,2,13,33,3,34.67,0
41,73,37,4,0,1,0,13,4,9,5,8.8,11,2,0,0.56,2,0,0,0,2,8,0.5,0.6,1,1,0,0,34,2,0,11,4,11.25,0
127,196,127,9,3,2,1,16,8,8,11,10.27,18,1,0,0,2,1,1,1,1,23,0.45,0.35,0.5,1,1,0,83,6,6,23,7,72.57,0
93,201,93,4,1,5,1,32,11,21,6,20.17,32,1,0,0,16,0,0,0,16,0,0.68,0.4,1,5,0,0,116,1,0,62,6,47.67,0
59,87,59,1,2,2,2,17,4,13,3,19.67,17,1,0,0,11,0,0,8,3,1,1,0.5,1,2,1,0,60,2,0,44,3,29,0
121,640,0,11,4,19,17,58,16,42,13,39.38,37,2,0,0.54,12,1,1,6,6,54,0.93,0.2,0.37,7,1,0,155,5,94,472,6,134.33,0
60,125,0,6,6,2,1,10,0,10,13,5.15,27,1,0,0,3,0,0,0,3,74,0.92,0.28,1,2,6,0,28,1,3,15,2,36,0
55,78,55,1,0,1,0,12,1,11,3,15.33,14,1,0,0,5,0,0,0,5,3,0.5,0.56,0,0,0,0,66,2,0,25,4,21.25,0
102,167,102,0,11,0,0,33,0,33,12,8.17,22,1,0,0,10,0,0,6,4,66,2,0.2,0,0,1,0,93,8,29,59,9,27.22,0
36,81,29,3,0,1,0,3,1,2,4,11.75,7,1,0,0,1,1,1,0,1,0,0,0.5,1,1,0,0,57,2,8,31,3,30.33,0
36,81,30,4,0,1,0,3,0,3,4,11.75,7,1,0,0,0,1,1,0,0,0,0,0.5,1,1,0,0,42,1,10,44,2,52,0
54,74,54,10,0,4,0,3,2,1,10,3.6,13,1,0,0,1,0,0,0,1,33,0.86,0.47,1,4,0,0,89,8,8,26,11,8.18,0
60,79,60,3,0,2,0,14,4,10,3,17.67,15,1,0,0,6,0,0,0,6,1,0.25,0.5,1,2,0,0,165,2,3,84,4,60.25,0
73,226,64,4,1,0,0,53,7,46,4,31.5,22,1,0,0,1,0,0,0,1,6,2,0.5,0,0,0,0,35,1,1,5,2,5.5,0
101,88,101,7,0,1,0,11,2,9,7,7,16,3,0,0.5,4,1,1,0,4,0,0,0.46,1,1,0,0,55,1,2,23,2,57,0
49,53,49,3,0,0,0,7,6,1,3,11,9,2,0,0.75,5,0,0,0,5,3,2,0.83,0,0,0,0,40,1,3,10,2,15.5,0
44,55,44,2,0,0,0,1,0,1,2,17,3,1,0,0,2,0,0,0,2,1,2,0.75,0,0,0,0,37,1,1,4,2,18.5,0
185,434,185,2,9,1,1,83,24,59,10,29.6,58,1,0,0,25,0,0,0,25,43,0.89,0.29,1,1,7,0,139,3,0,66,7,29,0
270,151,270,15,1,13,6,6,1,5,16,4.75,21,3,0,0.75,1,0,0,0,1,94,0.97,0.37,0.69,9,0,0,41,3,5,15,5,9.6,0
82,117,82,7,0,1,0,14,1,13,7,9.14,19,1,0,0,5,1,1,0,5,0,0,0.39,1,1,0,0,40,1,6,20,2,32.5,0
56,40,56,0,0,0,0,6,3,3,2,11,8,1,0,0,2,0,0,0,2,1,2,0.67,0,0,0,0,63,1,0,6,3,8.33,0
93,449,0,10,0,2,0,101,60,41,10,33.7,36,1,0,0,12,0,0,0,12,0,0.11,0.3,1,2,0,0,40,2,2,12,4,11.25,0
60,89,60,1,2,1,1,6,1,5,3,17,8,1,0,0,1,0,0,0,1,1,0.5,0.5,1,1,1,0,18,1,0,7,2,9.5,0
151,273,151,5,0,7,0,39,27,12,6,33.17,30,3,0,0.88,26,3,7,0,26,9,0.26,0.4,1,7,1,0,56,1,1,11,3,11.67,0
39,73,0,4,0,3,0,12,3,9,4,12,14,1,0,0,4,0,0,1,3,0,0.22,0.5,1,3,0,0,40,2,3,31,3,29.33,0
117,491,1,2,3,3,1,127,23,104,10,35,71,1,0,0,30,0,0,0,30,23,0.78,0.31,1,1,2,4,65,4,0,32,6,20.33,0
71,145,71,5,0,3,0,19,0,19,5,17.8,15,1,0,0,2,1,1,1,1,0,0.5,0.47,1,3,0,0,81,3,2,22,6,18.67,0
162,346,162,2,1,2,2,47,30,17,3,85,39,2,0,0.5,26,1,1,0,26,1,1,0.62,1,2,0,0,243,5,0,129,7,67.57,0
1137,87,1132,5,0,3,0,10,0,10,5,10.8,10,1,0,0,0,0,0,0,0,0,0.5,0.6,1,3,0,0,45,2,2,34,3,45,0
47,36,42,6,0,1,1,2,1,1,6,2.67,8,1,0,0,3,0,0,0,3,15,1.2,0.32,1,1,0,0,23,1,2,12,2,26.5,0
65,79,53,2,0,2,0,16,1,15,3,16.33,17,2,0,0.67,10,1,1,0,10,1,0,0.58,1,2,0,1,39,5,0,12,6,8.17,0
93,175,93,2,1,3,3,25,6,19,3,36.33,22,3,0,0.98,4,1,1,0,4,0,0.83,0.75,0.67,2,0,0,39,1,1,8,2,11.5,0
127,180,127,4,1,2,0,23,3,20,5,23.2,24,1,0,0,2,0,0,0,2,6,0.5,0.47,1,2,1,0,65,1,2,20,2,82.5,0
71,127,71,2,0,0,0,18,1,17,2,44,18,1,0,0,3,0,0,1,2,1,2,0.67,0,0,0,0,50,1,0,4,3,32,0
33,112,2,2,1,0,0,14,0,14,2,35.5,16,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,22,1,1,5,2,6,0
59,195,59,4,0,1,0,49,12,37,4,36.5,23,1,0,0,2,0,0,0,2,0,0,0.62,1,1,0,0,48,3,0,16,4,12,0
